customer_id,name,age,city,state
c0001,Rohan Desai,27,Hyderabad,Telangana
c0002,Rahul Sharma,21,Hyderabad,Telangana
c0003,Sneha Nair,46,Pune,Maharashtra
c0004,Amit Singh,39,Pune,Maharashtra
c0005,Priya Patel,56,Panaji,Goa
c0006,Rohan Desai,50,Panaji,Goa
c0007,Rahul Sharma,34,Mumbai,Maharashtra
c0008,Priya Patel,56,Pune,Maharashtra
c0009,Sneha Nair,24,Panaji,Goa
c0010,Amit Singh,57,Hyderabad,Telangana
c0011,Amit Singh,33,Mumbai,Maharashtra
c0012,Sneha Nair,24,Panaji,Goa
c0013,Rahul Sharma,44,Hyderabad,Telangana
c0014,Rahul Sharma,56,Delhi,Delhi
c0015,Sneha Nair,44,Panaji,Goa
c0016,Sneha Nair,31,Pune,Maharashtra
c0017,Rahul Sharma,34,Panaji,Goa
c0018,Sneha Nair,18,Bengaluru,Karnataka
c0019,Rahul Sharma,35,Panaji,Goa
c0020,Amit Singh,25,Panaji,Goa
c0021,Priya Patel,42,Pune,Maharashtra
c0022,Rohan Desai,31,Delhi,Delhi
c0023,Rohan Desai,29,Panaji,Goa
c0024,Amit Singh,33,Mumbai,Maharashtra
c0025,Rahul Sharma,39,Delhi,Delhi
c0026,Rohan Desai,48,Mumbai,Maharashtra
c0027,Rohan Desai,60,Delhi,Delhi
c0028,Rohan Desai,35,Bengaluru,Karnataka
c0029,Rahul Sharma,18,Hyderabad,Telangana
c0030,Rahul Sharma,41,Bengaluru,Karnataka
c0031,Priya Patel,49,Mumbai,Maharashtra
c0032,Sneha Nair,43,Delhi,Delhi
c0033,Amit Singh,36,Pune,Maharashtra
c0034,Rohan Desai,41,Bengaluru,Karnataka
c0035,Priya Patel,42,Bengaluru,Karnataka
c0036,Sneha Nair,49,Mumbai,Maharashtra
c0037,Rahul Sharma,52,Panaji,Goa
c0038,Amit Singh,20,Bengaluru,Karnataka
c0039,Sneha Nair,20,Hyderabad,Telangana
c0040,Priya Patel,60,Pune,Maharashtra
c0041,Rahul Sharma,45,Panaji,Goa
